ligand,receptor,,,,,,,,,,,,,,,,,
ANXA1,EGFR,,,,,,,,,,,,,,,,,
ANXA1,FPR1,10882119,13,,,,,,,,,,,,,,,
ANXA1,FPR2,12560218,16278303,,,,,,,,,,,,,,,
ANXA1,FPR3,,,,,,,,,,,,,,,,,
ANXA1,GRM7,,,,,,,,,,,,,,,,,
ANXA1,MTNR1A,,,,,,,,,,,,,,,,,
APLN,ADRA2A,,,,,,,,,,,,,,,,,
APLN,APLNR,10617103,9792798,12603839,15341513,10777510,12939143,11336787,,,,,,,,,,
APLN,GRM7,15341513,10777510,12939143,11336787,,,,,,,,,,,,,
APLN,MTNR1A,,,,,,,,,,,,,,,,,
APOA1,LDLR,,,,,,,,,,,,,,,,,
APOA1,LRP1,,,,,,,,,,,,,,,,,
APOA1,LRP2,,,,,,,,,,,,,,,,,
APOA2,LDLR,,,,,,,,,,,,,,,,,
APOA2,LRP1,,,,,,,,,,,,,,,,,
APOA2,LRP2,,,,,,,,,,,,,,,,,
APOA4,LDLR,,,,,,,,,,,,,,,,,
APOA4,LRP1,,,,,,,,,,,,,,,,,
APOA4,LRP2,,,,,,,,,,,,,,,,,
APOB,ADRB2,,,,,,,,,,,,,,,,,
APOB,CALCR,,,,,,,,,,,,,,,,,
APOB,ITGAM,,,,,,,,,,,,,,,,,
APOB,ITGB2,,,,,,,,,,,,,,,,,
APOB,LDLR,11327878,12,,,,,,,,,,,,,,,
APOB,LRP1,,,,,,,,,,,,,,,,,
APOB,LRP2,,,,,,,,,,,,,,,,,
APOB,LRP6,,,,,,,,,,,,,,,,,
APOB,LRP8,,,,,,,,,,,,,,,,,
APOB,LSR,,,,,,,,,,,,,,,,,
APOB,MTTP,,,,,,,,,,,,,,,,,
APOB,OLR1,,,,,,,,,,,,,,,,,
APOB,TLR4,,,,,,,,,,,,,,,,,
APOB,TLR6,,,,,,,,,,,,,,,,,
APOB,VLDLR,,,,,,,,,,,,,,,,,
APOC1,VLDLR,,,,,,,,,,,,,,,,,
APOC2,LDLR,,,,,,,,,,,,,,,,,
APOC2,LRP1,,,,,,,,,,,,,,,,,
APOC2,LRP2,,,,,,,,,,,,,,,,,
APOC3,LDLR,,,,,,,,,,,,,,,,,
APOC3,LRP1,,,,,,,,,,,,,,,,,
APOC3,LRP2,,,,,,,,,,,,,,,,,
APOC3,SDC2,,,,,,,,,,,,,,,,,
APOC3,TLR2,,,,,,,,,,,,,,,,,
APOC4,VLDLR,,,,,,,,,,,,,,,,,
APOD,LEPR,,,,,,,,,,,,,,,,,
APOE,CHRNA4,,,,,,,,,,,,,,,,,
APOE,LDLR,11327878,12,,,,,,,,,,,,,,,
APOE,LRP1,,,,,,,,,,,,,,,,,
APOE,LRP2,,,,,,,,,,,,,,,,,
APOE,LRP5,,,,,,,,,,,,,,,,,
APOE,LRP8,12167620,12950167,,,,,,,,,,,,,,,
APOE,SCARB1,,,,,,,,,,,,,,,,,
APOE,SORL1,,,,,,,,,,,,,,,,,
APOE,VLDLR,12,,,,,,,,,,,,,,,,
APP,ADRA2A,,,,,,,,,,,,,,,,,
APP,CAV1,,,,,,,,,,,,,,,,,
APP,CD74,,,,,,,,,,,,,,,,,
APP,FPR2,,,,,,,,,,,,,,,,,
APP,GPC1,,,,,,,,,,,,,,,,,
APP,GRM7,,,,,,,,,,,,,,,,,
APP,LRP1,,,,,,,,,,,,,,,,,
APP,MTNR1A,,,,,,,,,,,,,,,,,
APP,NCSTN,,,,,,,,,,,,,,,,,
APP,NGFR,,,,,,,,,,,,,,,,,
APP,SLC45A3,,,,,,,,,,,,,,,,,
APP,TNFRSF21,,,,,,,,,,,,,,,,,
AREG,EGFR,HPRD,2466334,101,,,,,,,,,,,,,,
AREG,ERBB3,,,,,,,,,,,,,,,,,
ARF1,CHRM3,,,,,,,,,,,,,,,,,
ARF1,INSR,,,,,,,,,,,,,,,,,
ARF1,PLD2,11,,,,,,,,,,,,,,,,
ARPC5,ADRB2,,,,,,,,,,,,,,,,,
ARPC5,LDLR,,,,,,,,,,,,,,,,,
ARPC5,LRP2,,,,,,,,,,,,,,,,,
ARTN,GFRA1,,,,,,,,,,,,,,,,,
ARTN,GFRA2,,,,,,,,,,,,,,,,,
ARTN,GFRA3,HPMR,9883723,,,,,,,,,,,,,,,
ARTN,RET,,,,,,,,,,,,,,,,,
ASIP,ATRN,,,,,,,,,,,,,,,,,
ASIP,F11R,,,,,,,,,,,,,,,,,
ASIP,MC1R,91,,,,,,,,,,,,,,,,
ASIP,MC2R,,,,,,,,,,,,,,,,,
ASIP,MC3R,,,,,,,,,,,,,,,,,
ASIP,MC4R,,,,,,,,,,,,,,,,,
ASIP,MC5R,,,,,,,,,,,,,,,,,
ASIP,MGRN1,,,,,,,,,,,,,,,,,
AVP,ADCYAP1R1,,,,,,,,,,,,,,,,,
AVP,ADRB2,,,,,,,,,,,,,,,,,
AVP,ADRB3,,,,,,,,,,,,,,,,,
AVP,AVPR1A,1560825,8106369,8106369,9884074,9334232,10780976,9322919,12446593,9459574,15084136,9264324,10866830,9864265,10519430,,,
AVP,AVPR1B,7929452,9884074,10780976,9322919,12446593,9459574,15084136,9264324,9864265,10519430,16158071,,,,,,
AVP,AVPR2,11857925,9884074,10780976,9322919,12446593,9459574,15084136,9264324,9864265,10519430,7774575,11012895,,,,,
AVP,GPR20,,,,,,,,,,,,,,,,,
AVP,GPR84,,,,,,,,,,,,,,,,,
AVP,LDLR,,,,,,,,,,,,,,,,,
AVP,LRP2,,,,,,,,,,,,,,,,,
AVP,OXTR,15084136,10519430,7774575,11337500,16158071,7475979,8955347,7921229,,,,,,,,,
AVP,PTH1R,,,,,,,,,,,,,,,,,
AVP,RAMP2,,,,,,,,,,,,,,,,,
AVP,RAMP3,,,,,,,,,,,,,,,,,
AVP,TSHR,,,,,,,,,,,,,,,,,
AVP,VIPR1,,,,,,,,,,,,,,,,,
AZGP1,ITGAV,,,,,,,,,,,,,,,,,
B2M,CD1A,,,,,,,,,,,,,,,,,
B2M,CD1B,,,,,,,,,,,,,,,,,
B2M,CD247,,,,,,,,,,,,,,,,,
B2M,CD3D,,,,,,,,,,,,,,,,,
B2M,CD3G,,,,,,,,,,,,,,,,,
B2M,HFE,,,,,,,,,,,,,,,,,
B2M,HLA-F,,,,,,,,,,,,,,,,,
B2M,KIR2DL1,,,,,,,,,,,,,,,,,
B2M,KIR2DL3,,,,,,,,,,,,,,,,,
B2M,KIR3DL1,,,,,,,,,,,,,,,,,
B2M,KLRC1,,,,,,,,,,,,,,,,,
B2M,KLRC2,,,,,,,,,,,,,,,,,
B2M,KLRD1,,,,,,,,,,,,,,,,,
B2M,LILRB1,,,,,,,,,,,,,,,,,
B2M,LILRB2,,,,,,,,,,,,,,,,,
B2M,TFRC,,,,,,,,,,,,,,,,,
BCAN,EGFR,,,,,,,,,,,,,,,,,
BCAN,NRCAM,,,,,,,,,,,,,,,,,
BDNF,DDR1,,,,,,,,,,,,,,,,,
BDNF,DRD4,,,,,,,,,,,,,,,,,
BDNF,NGFR,,,,,,,,,,,,,,,,,
BDNF,NGFRAP1,,,,,,,,,,,,,,,,,
BDNF,NTRK2,7644540,931,,,,,,,,,,,,,,,
BDNF,SORT1,,,,,,,,,,,,,,,,,
BGN,LY96,,,,,,,,,,,,,,,,,
BGN,TLR1,,,,,,,,,,,,,,,,,
BGN,TLR2,,,,,,,,,,,,,,,,,
BGN,TLR4,,,,,,,,,,,,,,,,,
BMP10,ACVR2A,,,,,,,,,,,,,,,,,
BMP10,ACVRL1,,,,,,,,,,,,,,,,,
BMP10,BMPR1A,,,,,,,,,,,,,,,,,
BMP10,BMPR1B,,,,,,,,,,,,,,,,,
BMP10,BMPR2,,,,,,,,,,,,,,,,,
BMP10,ENG,,,,,,,,,,,,,,,,,
BMP15,BMPR1A,,,,,,,,,,,,,,,,,
BMP15,BMPR1B,12044914,12,,,,,,,,,,,,,,,
BMP15,BMPR2,,,,,,,,,,,,,,,,,
BMP2,ACVR1,,,,,,,,,,,,,,,,,
BMP2,ACVR2B,,,,,,,,,,,,,,,,,
BMP2,BMPR1A,12700180,11263668,10881198,10692589,15064755,,,,,,,,,,,,
BMP2,BMPR1B,12700180,7811286,9872992,15064755,,,,,,,,,,,,,
BMP2,BMPR2,11263668,11,,,,,,,,,,,,,,,
BMP2,ENG,,,,,,,,,,,,,,,,,
BMP2,HFE2,,,,,,,,,,,,,,,,,
BMP4,BMPR1A,8006002,11241215,8702914,7644468,,,,,,,,,,,,,
BMP4,BMPR1B,8006002,11282024,8702914,7811286,,,,,,,,,,,,,
BMP4,BMPR2,7673243,7644468,8702914,,,,,,,,,,,,,,
BMP4,HFE2,,,,,,,,,,,,,,,,,
BMP5,BMPR1A,,,,,,,,,,,,,,,,,
BMP5,BMPR1B,,,,,,,,,,,,,,,,,
BMP5,BMPR2,,,,,,,,,,,,,,,,,
BMP5,HFE2,,,,,,,,,,,,,,,,,
BMP6,ACVR1,,,,,,,,,,,,,,,,,
BMP6,ACVR2A,,,,,,,,,,,,,,,,,
BMP6,BMPR1A,12297674,10504300,11401330,,,,,,,,,,,,,,
BMP6,BMPR1B,11,,,,,,,,,,,,,,,,
BMP6,BMPR2,,,,,,,,,,,,,,,,,
BMP7,ACVR1,8,,,,,,,,,,,,,,,,
BMP7,ACVR2A,9748228,12667445,,,,,,,,,,,,,,,
BMP7,ACVR2B,,,,,,,,,,,,,,,,,
BMP7,BMPR1A,12297674,7791754,8605097,,,,,,,,,,,,,,
BMP7,BMPR1B,10631182,86,,,,,,,,,,,,,,,
BMP7,BMPR2,,,,,,,,,,,,,,,,,
BMP7,ENG,,,,,,,,,,,,,,,,,
BMP8A,BMPR1A,,,,,,,,,,,,,,,,,
BMP8A,BMPR1B,,,,,,,,,,,,,,,,,
BMP8A,BMPR2,,,,,,,,,,,,,,,,,
BMP8B,BMPR1A,,,,,,,,,,,,,,,,,
BMP8B,BMPR1B,,,,,,,,,,,,,,,,,
BMP8B,BMPR2,,,,,,,,,,,,,,,,,
BST1,CAV1,,,,,,,,,,,,,,,,,
BTC,EGFR,HPMR,8144591,953,,,,,,,,,,,,,,
BTC,ERBB2,9662041,,,,,,,,,,,,,,,,
BTC,ERBB3,,,,,,,,,,,,,,,,,
BTC,ERBB4,HPMR,10214951,11,,,,,,,,,,,,,,
BTLA,CD247,,,,,,,,,,,,,,,,,
BTLA,CD79A,,,,,,,,,,,,,,,,,
BTLA,TNFRSF14,HPRD,22437870,,,,,,,,,,,,,,,
BTLA,VTCN1,,,,,,,,,,,,,,,,,
C1QA,CD93,,,,,,,,,,,,,,,,,
C1QA,CR1,,,,,,,,,,,,,,,,,
C1QA,CSPG4,,,,,,,,,,,,,,,,,
C1QB,LRP1,,,,,,,,,,,,,,,,,
C1QTNF1,AVPR2,,,,,,,,,,,,,,,,,
C1QTNF5,MFRP,,,,,,,,,,,,,,,,,
C1orf112,PLSCR4,,,,,,,,,,,,,,,,,
C1orf194,PLSCR4,,,,,,,,,,,,,,,,,
C3,ADRA2A,,,,,,,,,,,,,,,,,
C3,C3AR1,11342658,21,,,,,,,,,,,,,,,
C3,C5AR2,,,,,,,,,,,,,,,,,
C3,CD19,,,,,,,,,,,,,,,,,
C3,CD46,,,,,,,,,,,,,,,,,
C3,CD81,,,,,,,,,,,,,,,,,
C3,CR1,,,,,,,,,,,,,,,,,
C3,GRM7,,,,,,,,,,,,,,,,,
C3,IFITM1,,,,,,,,,,,,,,,,,
C3,ITGAM,,,,,,,,,,,,,,,,,
C3,ITGAX,751,,,,,,,,,,,,,,,,
C3,ITGB2,,,,,,,,,,,,,,,,,
C3,LRP1,,,,,,,,,,,,,,,,,
C3,MTNR1A,,,,,,,,,,,,,,,,,
C4A,C3AR1,,,,,,,,,,,,,,,,,
C4A,C5AR2,,,,,,,,,,,,,,,,,
C4A,CR1,,,,,,,,,,,,,,,,,
C4BPA,BMPR2,,,,,,,,,,,,,,,,,
C4BPA,CD40,,,,,,,,,,,,,,,,,
C4BPA,LRP1,,,,,,,,,,,,,,,,,
C4B,CD46,,,,,,,,,,,,,,,,,
C4B,CR1,,,,,,,,,,,,,,,,,
C5,ADRA2A,,,,,,,,,,,,,,,,,
C5,C5AR1,1847994,10602324,9881961,15661745,11773063,9553099,,,,,,,,,,,
C5,C5AR2,13,,,,,,,,,,,,,,,,
C5,GRM7,,,,,,,,,,,,,,,,,
C5,MTNR1A,,,,,,,,,,,,,,,,,
C6orf15,DDR1,,,,,,,,,,,,,,,,,
CALCA,ADCYAP1R1,,,,,,,,,,,,,,,,,
CALCA,ADRB2,,,,,,,,,,,,,,,,,
CALCA,ADRB3,,,,,,,,,,,,,,,,,
CALCA,CALCR,15692146,11023820,9487987,14722252,7588285,12565884,10342886,11033437,,,,,,,,,
CALCA,CALCRL,8626685,14668209,3001670,12234182,,,,,,,,,,,,,
CALCA,GPR20,,,,,,,,,,,,,,,,,
CALCA,GPR84,,,,,,,,,,,,,,,,,
CALCA,PTH1R,,,,,,,,,,,,,,,,,
CALCA,RAMP1,122,,,,,,,,,,,,,,,,
CALCA,RAMP2,,,,,,,,,,,,,,,,,
CALCA,RAMP3,,,,,,,,,,,,,,,,,
CALCA,TSHR,,,,,,,,,,,,,,,,,
CALCA,VIPR1,,,,,,,,,,,,,,,,,
CALCB,ADCYAP1R1,,,,,,,,,,,,,,,,,
CALCB,ADRB2,,,,,,,,,,,,,,,,,
CALCB,ADRB3,,,,,,,,,,,,,,,,,
CALCB,CALCR,,,,,,,,,,,,,,,,,
CALCB,CALCRL,,,,,,,,,,,,,,,,,
CALCB,GPR20,,,,,,,,,,,,,,,,,
CALCB,GPR84,,,,,,,,,,,,,,,,,
CALCB,PTH1R,,,,,,,,,,,,,,,,,
CALCB,RAMP1,,,,,,,,,,,,,,,,,
CALCB,RAMP2,,,,,,,,,,,,,,,,,
CALCB,RAMP3,,,,,,,,,,,,,,,,,
CALCB,TSHR,,,,,,,,,,,,,,,,,
CALCB,VIPR1,,,,,,,,,,,,,,,,,
CALM1,ABCA1,,,,,,,,,,,,,,,,,
CALM1,ADCY8,,,,,,,,,,,,,,,,,
CALM1,ADCYAP1R1,,,,,,,,,,,,,,,,,
CALM1,AQP6,,,,,,,,,,,,,,,,,
CALM1,CACNA1C,,,,,,,,,,,,,,,,,
CALM1,CALCR,,,,,,,,,,,,,,,,,
CALM1,CNGA2,,,,,,,,,,,,,,,,,
CALM1,CRHR1,,,,,,,,,,,,,,,,,
CALM1,EGFR,,,,,,,,,,,,,,,,,
CALM1,FAS,,,,,,,,,,,,,,,,,
CALM1,GLP1R,,,,,,,,,,,,,,,,,
CALM1,GLP2R,,,,,,,,,,,,,,,,,
CALM1,GP6,,,,,,,,,,,,,,,,,
CALM1,GRM3,,,,,,,,,,,,,,,,,
CALM1,GRM4,,,,,,,,,,,,,,,,,
CALM1,GRM5,,,,,,,,,,,,,,,,,
CALM1,GRM7,,,,,,,,,,,,,,,,,
CALM1,HMMR,,,,,,,,,,,,,,,,,
CALM1,HTR2C,,,,,,,,,,,,,,,,,
CALM1,INSR,,,,,,,,,,,,,,,,,
CALM1,KCNN4,,,,,,,,,,,,,,,,,
CALM1,KCNQ1,,,,,,,,,,,,,,,,,
CALM1,KCNQ3,,,,,,,,,,,,,,,,,
CALM1,KCNQ5,,,,,,,,,,,,,,,,,
CALM1,MIP,,,,,,,,,,,,,,,,,
CALM1,MYLK,,,,,,,,,,,,,,,,,
CALM1,MYLK2,,,,,,,,,,,,,,,,,
CALM1,OPRM1,,,,,,,,,,,,,,,,,
CALM1,PDE1A,,,,,,,,,,,,,,,,,
CALM1,PDE1B,,,,,,,,,,,,,,,,,
CALM1,PDE1C,,,,,,,,,,,,,,,,,
CALM1,PLPP6,,,,,,,,,,,,,,,,,
CALM1,PTH2R,,,,,,,,,,,,,,,,,
CALM1,PTPRA,,,,,,,,,,,,,,,,,
CALM1,SCN10A,,,,,,,,,,,,,,,,,
CALM1,SCN4A,,,,,,,,,,,,,,,,,
CALM1,SCTR,,,,,,,,,,,,,,,,,
CALM1,SELL,,,,,,,,,,,,,,,,,
CALM1,TRPC3,,,,,,,,,,,,,,,,,
CALM1,TRPC5,,,,,,,,,,,,,,,,,
CALM1,VIPR1,,,,,,,,,,,,,,,,,
CALM2,ABCA1,,,,,,,,,,,,,,,,,
CALM2,ADCY8,,,,,,,,,,,,,,,,,
CALM2,AQP6,,,,,,,,,,,,,,,,,
CALM2,CACNA1C,,,,,,,,,,,,,,,,,
CALM2,EGFR,,,,,,,,,,,,,,,,,
CALM2,GP6,,,,,,,,,,,,,,,,,
CALM2,GRM5,,,,,,,,,,,,,,,,,
CALM2,GRM7,,,,,,,,,,,,,,,,,
CALM2,INSR,,,,,,,,,,,,,,,,,
CALM2,KCNQ1,,,,,,,,,,,,,,,,,
CALM2,KCNQ3,,,,,,,,,,,,,,,,,
CALM2,KCNQ5,,,,,,,,,,,,,,,,,
CALM2,MYLK,,,,,,,,,,,,,,,,,
CALM2,MYLK2,,,,,,,,,,,,,,,,,
CALM2,PDE1A,,,,,,,,,,,,,,,,,
CALM2,PDE1B,,,,,,,,,,,,,,,,,
CALM2,PDE1C,,,,,,,,,,,,,,,,,
CALM2,PLPP6,,,,,,,,,,,,,,,,,
CALM2,SCN10A,,,,,,,,,,,,,,,,,
CALM2,SCN4A,,,,,,,,,,,,,,,,,
CALM2,SELL,,,,,,,,,,,,,,,,,
CALM2,TRPC5,,,,,,,,,,,,,,,,,
CALM3,ABCA1,,,,,,,,,,,,,,,,,
CALM3,ADCY8,,,,,,,,,,,,,,,,,
CALM3,AQP6,,,,,,,,,,,,,,,,,
CALM3,EGFR,,,,,,,,,,,,,,,,,
CALM3,GP6,,,,,,,,,,,,,,,,,
CALM3,GRM5,,,,,,,,,,,,,,,,,
CALM3,GRM7,,,,,,,,,,,,,,,,,
CALM3,INSR,,,,,,,,,,,,,,,,,
CALM3,KCNQ1,,,,,,,,,,,,,,,,,
CALM3,KCNQ3,,,,,,,,,,,,,,,,,
CALM3,KCNQ5,,,,,,,,,,,,,,,,,
CALM3,MYLK,,,,,,,,,,,,,,,,,
CALM3,MYLK2,,,,,,,,,,,,,,,,,
CALM3,PDE1A,,,,,,,,,,,,,,,,,
CALM3,PDE1B,,,,,,,,,,,,,,,,,
CALM3,PDE1C,,,,,,,,,,,,,,,,,
CALM3,PLPP6,,,,,,,,,,,,,,,,,
CALM3,SCN10A,,,,,,,,,,,,,,,,,
CALM3,SCN4A,,,,,,,,,,,,,,,,,
CALM3,SELL,,,,,,,,,,,,,,,,,
CALM3,TRPC5,,,,,,,,,,,,,,,,,
CALR,HLA-F,,,,,,,,,,,,,,,,,
CALR,ITGA2B,,,,,,,,,,,,,,,,,
CALR,ITGA3,,,,,,,,,,,,,,,,,
CALR,ITGAV,,,,,,,,,,,,,,,,,
CALR,LRP1,,,,,,,,,,,,,,,,,
CALR,MTNR1A,,,,,,,,,,,,,,,,,
CALR,SCARF1,,,,,,,,,,,,,,,,,
CALR,TSHR,,,,,,,,,,,,,,,,,
CAMP,EGFR,,,,,,,,,,,,,,,,,
CAMP,FPR2,11015447,,,,,,,,,,,,,,,,
CAMP,IGF1R,,,,,,,,,,,,,,,,,
CAMP,P2RX7,,,,,,,,,,,,,,,,,
CCK,CCKAR,10400673,10400673,11300760,9006937,9603948,10595537,,,,,,,,,,,
CCK,CCKBR,10368033,10438490,8349705,7681836,10438490,12695525,15068617,15520004,15001692,,,,,,,,
CCL11,ACKR1,,,,,,,,,,,,,,,,,
CCL11,ACKR2,,,,,,,,,,,,,,,,,
CCL11,ACKR4,,,,,,,,,,,,,,,,,
CCL11,CCR2,15207250,11264152,,,,,,,,,,,,,,,
CCL11,CCR3,HPRD,10699158,,,,,,,,,,,,,,,
CCL11,CCR5,10699158,,,,,,,,,,,,,,,,
CCL11,CXCR3,,,,,,,,,,,,,,,,,
CCL13,ACKR1,,,,,,,,,,,,,,,,,
CCL13,ACKR2,,,,,,,,,,,,,,,,,
CCL13,ACKR4,,,,,,,,,,,,,,,,,
CCL13,CCR1,,,,,,,,,,,,,,,,,
CCL13,CCR2,fantom5,10699158,,,,,,,,,,,,,,,
CCL13,CCR3,literature,10699158,,,,,,,,,,,,,,,
CCL13,CCR5,105,,,,,,,,,,,,,,,,
CCL13,CCR9,,,,,,,,,,,,,,,,,
CCL13,CXCR3,,,,,,,,,,,,,,,,,
CCL14,ACKR1,,,,,,,,,,,,,,,,,
CCL14,ACKR2,,,,,,,,,,,,,,,,,
CCL14,CCR1,fantom5,9405404,,,,,,,,,,,,,,,
CCL14,CCR3,,,,,,,,,,,,,,,,,
